Gene Description,Gene Accession Number,39,call,40,call,41,call,42,call,43,call,44,call,45,call,46,call,47,call,48,call,49,call,50,call,51,call,52,call,53,call,54,call,55,call,56,call,57,call,58,call,59,call,60,call,61,call,62,call,63,call,64,call,65,call,66,call,67,call,68,call,69,call,70,call,71,call,72,call
AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at,-342,A,-87,A,-62,A,22,A,86,A,-146,A,-187,A,-56,A,-243,A,-130,A,-256,A,-118,A,-112,A,-21,A,-202,A,-90,A,-34,A,-95,A,-137,A,-157,A,-12,A,-172,A,-47,A,-176,A,-161,A,-48,A,-62,A,-58,A,-76,A,-154,A,-79,A,-55,A,-59,A,-131,A
AFFX-BioB-M_at (endogenous control),AFFX-BioB-M_at,-200,A,-248,A,-23,A,-153,A,-36,A,-74,A,-187,A,-43,A,-218,A,-177,A,-249,A,-142,A,-185,A,-13,A,-274,A,-87,A,-144,A,-118,A,-51,A,-370,A,-172,A,-122,A,-442,A,-284,A,-215,A,-531,A,-198,A,-217,A,-98,A,-136,A,-118,A,-44,A,-114,A,-126,A
AFFX-BioB-3_at (endogenous control),AFFX-BioB-3_at,41,A,262,A,-7,A,17,A,-141,A,170,A,312,A,43,A,-163,A,-28,A,-410,A,212,A,24,A,8,A,59,A,102,A,-17,A,59,A,-82,A,-77,A,12,A,38,A,-21,A,-81,A,-46,A,-124,A,-5,A,63,A,-153,A,49,A,-30,A,12,A,23,A,-50,A
AFFX-BioC-5_at (endogenous control),AFFX-BioC-5_at,328,A,295,A,142,A,276,A,252,A,174,A,142,A,177,A,182,A,266,A,24,A,314,A,170,A,38,A,309,A,319,P,152,A,270,A,178,A,340,A,172,A,31,A,396,A,9,A,146,A,431,A,141,A,95,A,237,A,180,A,68,A,129,A,146,A,211,A
AFFX-BioC-3_at (endogenous control),AFFX-BioC-3_at,-224,A,-226,A,-233,A,-211,A,-201,A,-32,A,114,A,-116,A,-289,A,-170,A,-535,A,-401,A,-197,A,-128,A,-456,A,-283,A,-174,A,-229,A,-135,A,-438,A,-137,A,-201,A,-351,A,-294,A,-172,A,-496,A,-256,A,-191,A,-215,A,-257,A,-110,A,-108,A,-171,A,-206,A
AFFX-BioDn-5_at (endogenous control),AFFX-BioDn-5_at,-427,A,-493,A,-284,A,-250,A,-384,A,-318,A,-148,A,-184,A,-268,A,-326,A,-810,A,-452,A,-400,A,-245,A,-581,A,-385,A,-289,A,-383,A,-320,A,-364,A,-205,A,-226,A,-394,A,-493,A,-596,A,-696,A,-206,A,-230,A,-122,A,-273,A,-264,A,-301,A,-227,A,-287,A
AFFX-BioDn-3_at (endogenous control),AFFX-BioDn-3_at,-656,A,367,A,-167,A,55,A,-420,A,8,A,-184,A,-105,A,-285,A,-222,A,709,A,-336,A,-215,A,409,A,-159,A,-726,A,361,A,172,A,-13,A,-216,A,358,A,242,A,236,A,-393,A,-122,A,-1038,A,-298,A,-86,A,-68,A,141,A,-28,A,-222,A,-73,A,-34,A
AFFX-CreX-5_at (endogenous control),AFFX-CreX-5_at,-292,A,-452,A,-97,A,-141,A,-197,A,-152,A,-133,A,-62,A,-172,A,-93,A,-316,A,-310,A,-227,A,-102,A,-343,A,-271,A,-89,A,-187,A,-11,A,-210,A,-104,A,-117,A,-39,A,-141,A,-341,A,-441,A,-218,A,-152,A,-118,A,-123,A,-61,A,-133,A,-126,A,-114,A
AFFX-CreX-3_at (endogenous control),AFFX-CreX-3_at,137,A,194,A,-12,A,0,A,-60,A,-148,A,12,A,0,A,52,A,10,A,27,A,177,A,100,A,85,A,236,A,-12,A,87,A,185,A,112,A,-86,A,-25,A,-6,A,95,A,166,A,171,A,235,A,-14,A,-6,A,6,A,52,A,40,A,136,A,-6,A,62,A
AFFX-BioB-5_st (endogenous control),AFFX-BioB-5_st,-144,A,162,A,-70,A,500,A,-468,A,17,A,97,A,-40,A,-134,A,159,A,14,A,-131,A,307,A,281,A,-7,A,-104,A,104,A,157,A,-176,A,253,A,147,A,179,A,203,A,-37,A,-147,A,157,A,100,A,-249,A,208,A,878,A,-217,A,320,A,149,A,341,A
AFFX-BioB-M_st (endogenous control),AFFX-BioB-M_st,48,A,207,A,-89,A,58,A,182,A,-100,A,-83,A,30,A,-140,A,-3,A,-69,A,-151,A,48,A,-217,A,-542,A,4,A,-239,A,66,A,-3,A,-188,A,-221,A,34,A,-75,A,-39,A,-533,A,-162,A,-125,A,-117,A,-25,A,-51,A,-52,A,81,A,-62,A,-166,A
